Momentum: Eta=0.01, Lambda=0
  [=======================================>] 100.0%          8818513 function calls (8383423 primitive calls) in 9.911 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1048dda40}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       12    0.000    0.000    0.000    0.000 {built-in method _imp.lock_held}
       24    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
   150000    0.010    0.000    0.010    0.000 {built-in method builtins.callable}
        1    0.000    0.000    9.932    9.932 {built-in method builtins.exec}
   150303    0.017    0.000    0.017    0.000 {built-in method builtins.getattr}
       19    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
    30173    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
      156    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
    15443    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    60000    0.013    0.000    0.013    0.000 {built-in method builtins.min}
       80    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       11    0.000    0.000    0.000    0.000 {built-in method math.floor}
       11    0.000    0.000    0.000    0.000 {built-in method math.log10}
   300090    0.201    0.000    0.201    0.000 {built-in method numpy.array}
    30182    0.003    0.000    0.003    0.000 {built-in method numpy.asanyarray}
   300000    0.101    0.000    0.101    0.000 {built-in method numpy.asarray}
480762/180762    0.247    0.000    3.223    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   150105    0.075    0.000    0.075    0.000 {built-in method numpy.empty}
   360010    0.189    0.000    0.189    0.000 {built-in method numpy.zeros}
       15    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       12    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       12    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      113    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
       65    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      436    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
   150000    0.030    0.000    0.030    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      120    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      140    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    30102    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       61    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      120    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      240    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
   180000    0.030    0.000    0.030    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       61    0.010    0.000    0.010    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       12    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
    30030    0.011    0.000    0.011    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   150000    0.063    0.000    0.063    0.000 {method 'round' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       90    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {numpy.random.mtrand.seed}


